,Stations,Altitude (m),Annual average,Average maximums,Average minimums,Outright maximum,Outright minimum,Year
Pallars Jussà,la Pobla de Segur,513,12,19.9,6,38.7,-9.8,2008
Pallars Sobirà,,..,..,..,..,..,..,2008
Pla d'Urgell,Castellnou de Seana,264,14,20.8,8,38.2,-5.3,2008
Pla de l'Estany,Banyoles,157,15,21.2,9.8,37.7,-2.5,2008
Priorat,Ulldemolins,359,14,20.2,9.9,35.8,-3.6,2008
Ribera d'Ebre,Vinebre,48,16,22.7,10.1,38.3,-4,2008
Ripollès,Sant Pau de Segúries,851,10,16.9,3.9,32.5,-8.9,2008
Segarra,Cervera,558,13,18.4,8.2,36.2,-6.5,2008
Segrià,Lleida - Raimat,290,14,20.1,8.1,36.8,-6.6,2008
Selva,Anglès,150,14,21.1,7.6,38.2,-5.8,2008
Solsonès,Clariana de Cardener,693,12,18.2,7.2,35.1,-4.6,2008
Tarragonès,Constantí,105,16,21.1,10.4,33.8,-2.3,2008
Terra Alta,Horta de St. Joan,511,14,19.2,9,35.7,-6.2,2008
