,Fires,Affected area (ha). With trees,Affected area (ha). With scrub,Affected area (ha). Total,Year
Maresme,19,0.9,1,1.9,2010
Montsià,10,0.4,5.1,5.5,2010
Noguera,10,22.1,16.5,38.5,2010
Osona,1,1.4,0,1.4,2010
Pallars Jussà,5,0,4.7,4.8,2010
Pallars Sobirà,5,0,0.8,0.8,2010
Pla d'Urgell,0,0,0,0,2010
Pla de l'Estany,5,0,0.1,0.1,2010
Priorat,12,0.4,3.9,4.3,2010
Ribera d'Ebre,8,1.1,0.3,1.4,2010
Ripollès,3,0.2,0.1,0.3,2010
Segarra,3,0,2.1,2.1,2010
Segrià,27,10.6,11.2,21.8,2010
Selva,12,0.2,0.3,0.5,2010
Solsonès,5,0,1.6,1.7,2010
Tarragonès,11,60.4,50.9,111.2,2010
Terra Alta,12,2.1,3.6,5.7,2010
Urgell,17,1,8.1,9.1,2010
Val d'Aran,1,12.1,101.4,113.5,2010
Vallès Occidental,29,0.3,0.7,1.1,2010
Vallès Oriental,30,0.8,0.5,1.3,2010
Alt Camp,9,80.9,272.1,353,2011
Alt Empordà,44,8.7,145.3,154,2011
Alt Penedès,8,0,3.3,3.3,2011
Alt Urgell,6,0.3,1.7,2,2011
Alta Ribagorça,0,0,0,0,2011
Anoia,31,2.1,3.2,5.3,2011
Bages,28,2.4,5.8,8.2,2011
Baix Camp,16,0,8.6,8.6,2011
Baix Ebre,39,8.4,8.6,17,2011
Baix Empordà,32,22.3,2.9,25.2,2011
Baix Llobregat,30,0.2,4.4,4.5,2011
Baix Penedès,12,6.9,13.1,20,2011
Barcelonès,4,0,1.1,2,2011
Berguedà,3,0,0.1,0.1,2011
Cerdanya,4,0.4,1.9,2.3,2011
Conca de Barberà,22,1.7,6.7,8.3,2011
Garraf,9,1.2,0.6,1.8,2011
Garrigues,7,0.7,1.9,2.6,2011
Garrotxa,4,0.1,1,0.6,2011
Gironès,15,4,5,9,2011
Maresme,19,1.2,1.5,2.6,2011
Montsià,11,1.3,30.5,31.8,2011
Noguera,15,3.2,30.2,33.4,2011
Osona,9,0.5,0.9,1.3,2011
Pallars Jussà,10,8,20.2,28.2,2011
Pallars Sobirà,9,17.4,249.2,266.5,2011
Pla d'Urgell,0,0,0,0,2011
Pla de l'Estany,2,0,0,0,2011
Priorat,11,6.9,0.9,7.8,2011
Ribera d'Ebre,10,0.7,1.6,2.3,2011
Ripollès,4,6.1,0,6.1,2011
Segarra,2,1.1,0.5,1.6,2011
Segrià,44,5.8,25.7,31.4,2011
Selva,18,1,0.2,1.1,2011
Solsonès,4,0.1,2.5,2.6,2011
Tarragonès,5,0.1,0.2,0.3,2011
Terra Alta,16,16.7,6.4,23.2,2011
Urgell,16,0.7,8.7,9.4,2011
Val d'Aran,1,0.7,9.8,10.5,2011
Vallès Occidental,32,2.3,5.1,7.4,2011
Vallès Oriental,25,0.4,0.8,1.2,2011
Alt Camp,5,17,2,19,2012
Alt Empordà,30,5624.2,3164.7,8788.9,2012
Alt Penedès,38,129.4,115.1,244.4,2012
Alt Urgell,16,166.1,57.4,223.5,2012
Alta Ribagorça,8,94,100,194,2012
Anoia,25,68.2,45.3,113.5,2012
Bages,30,219.2,54.1,273.3,2012
Baix Camp,14,5.2,59,64.2,2012
Baix Ebre,25,44.3,1475.5,1519.8,2012
Baix Empordà,23,168.1,25.7,193.8,2012
Baix Llobregat,53,1.9,7,9,2012
Baix Penedès,13,0.8,3.8,4.6,2012
Barcelonès,12,3.5,12.3,15.8,2012
Berguedà,12,0.3,1.2,1.5,2012
Cerdanya,12,31,227.2,258.3,2012
Conca de Barberà,19,28.5,13.9,42.4,2012
Garraf,14,190.7,176.9,367.6,2012
Garrigues,11,1.9,12.1,14,2012
Garrotxa,9,0.2,2,1.8,2012
Gironès,20,321.2,28.3,349.5,2012
Maresme,33,2,3.6,5.6,2012
Montsià,8,0.7,12.3,13,2012
Noguera,21,25.3,49.5,74.8,2012
Osona,22,72.8,16.5,89.2,2012
Pallars Jussà,33,30,117.9,147.9,2012
Pallars Sobirà,6,197.1,168,365.1,2012
Pla d'Urgell,0,0,0,0,2012
Pla de l'Estany,4,0,0.1,0.1,2012
Priorat,26,32.6,87.6,120.2,2012
Ribera d'Ebre,8,202.1,1032.2,1234.3,2012
Ripollès,6,0.1,0.6,0.7,2012
Segarra,9,19.1,15.3,34.4,2012
Segrià,35,8.7,14.6,23.2,2012
Selva,25,10.1,2.1,12.2,2012
Solsonès,8,4.5,0.1,4.6,2012
Tarragonès,14,2.5,8.1,10.6,2012
Terra Alta,11,13.6,133,146.6,2012
Urgell,10,1.4,4.9,6.4,2012
Val d'Aran,3,8.4,20.4,28.8,2012
Vallès Occidental,43,1.3,4.8,6,2012
Vallès Oriental,33,1,2,3,2012
Alt Camp,10,8.4,50.8,59.2,2013
Alt Empordà,23,2.2,6.6,8.8,2013
Alt Penedès,33,0.7,9.4,10.1,2013
Alt Urgell,3,0,0.2,0.2,2013
Alta Ribagorça,3,0,0.1,0.1,2013
Anoia,47,4.5,2.9,7.3,2013
Bages,33,16.8,3.5,20.3,2013
Baix Camp,8,0.1,2.4,2.5,2013
Baix Ebre,20,2.1,3.8,5.9,2013
Baix Empordà,22,433.3,90.7,523.9,2013
