Subregion,Forest area. Woods (Ha),Forest area. Scrubland (Ha),Forest area. Others (Ha),No vegetation (Ha),Cropland. Dry farming (Ha),Cropland. Irrigated (Ha),Urban and others (1) (Ha),year
Montsià,9293,13232,2726,5633,21511,18324,3071,2008
Noguera,59700,36827,584,4950,46189,26676,3414,2008
Osona,74231,11606,4088,4517,25507,721,5681,2008
Pallars Jussà,55483,50915,4497,3225,15714,2807,1769,2008
Pallars Sobirà,62943,61718,6274,1664,1634,263,1394,2008
Pla d'Urgell,33,509,10,1147,592,26408,1871,2008
Pla de l'Estany,13924,1272,523,822,7263,1149,1367,2008
Priorat,19971,15730,0,1091,9890,2039,949,2008
Ribera d'Ebre,19593,25876,7424,8357,12480,6796,2074,2008
Ripollès,51918,4318,34338,2670,1117,9,1420,2008
Segarra,9437,13520,1899,772,44452,229,1961,2008
Segrià,9116,17268,489,6850,34297,65238,6462,2008
Selva,69897,6743,2067,3020,5014,4116,8785,2008
Solsonès,58561,18913,909,1641,18818,24,1314,2008
Tarragonès,4080,4579,0,2349,8561,3630,8541,2008
Terra Alta,25824,17164,0,933,28062,923,1304,2008
Urgell,3580,5180,92,1170,30435,15354,2119,2008
Val d'Aran,21856,35232,4566,862,51,0,723,2008
Vallès Occidental,23326,7555,554,3132,4050,584,19116,2008
Vallès Oriental,46416,7094,3763,3895,7195,2479,14311,2008
Alt Camp,14355,12211,0,1196,18666,4064,3278,2009
Alt Empordà,55016,25032,3494,4630,24992,14622,7917,2009
Alt Penedès,13610,13093,1856,2242,22379,282,5859,2009
Alt Urgell,91975,36999,5632,2349,3714,2193,1839,2009
Alta Ribagorça,16331,22906,1541,829,590,180,413,2009
Anoia,29550,14191,5517,2522,28967,447,5556,2009
Bages,66164,24315,4666,4839,21836,760,7380,2009
Baix Camp,19122,17275,5016,3471,6826,11577,6444,2009
Baix Ebre,17398,23045,5189,5167,27940,16659,4543,2009
Baix Empordà,29774,6509,2958,4127,12027,8715,6150,2009
Baix Llobregat,11493,10376,1925,4217,1874,1742,16953,2009
Baix Penedès,7070,8154,0,1475,8077,411,4393,2009
Barcelonès,1416,1043,131,162,13,48,11557,2009
Berguedà,63231,19976,21168,2573,9300,78,2186,2009
Cerdanya,24566,16862,7445,1044,2200,821,2068,2009
Conca de Barberà,20740,13510,457,2952,24829,352,2180,2009
Garraf,3846,6717,483,966,1625,165,4658,2009
Garrigues,13465,15604,2,1156,35320,11842,2401,2009
Garrotxa,56611,2381,4101,1214,5556,1308,2259,2009
Gironès,33456,2100,211,1985,10315,4369,5164,2009
Maresme,20477,2224,1797,2223,804,2863,9362,2009
Montsià,9324,13237,2732,5691,21635,18046,3126,2009
Noguera,59631,36450,1126,5043,46211,26160,3720,2009
Osona,74798,11606,4447,4688,24251,707,5854,2009
Pallars Jussà,55488,50915,4497,3249,15685,2807,1769,2009
Pallars Sobirà,63035,62115,6257,1665,1249,175,1394,2009
Pla d'Urgell,31,164,793,1296,564,25771,1951,2009
Pla de l'Estany,13922,1272,478,826,7309,1147,1367,2009
Priorat,19961,15730,0,1126,9794,2001,1058,2009
Ribera d'Ebre,21896,23736,7501,8436,11800,7092,2138,2009
Ripollès,52053,4312,34207,2679,1116,6,1417,2009
Segarra,9480,13520,1896,762,44444,220,1948,2009
Segrià,9138,17268,489,6748,33637,65833,6607,2009
Selva,69837,6695,1804,3298,5037,4145,8826,2009
Solsonès,58558,18913,2831,1513,17554,25,786,2009
Tarragonès,4046,4579,0,2552,8447,3523,8593,2009
Terra Alta,25847,17164,20,955,27874,1007,1343,2009
Urgell,3575,5180,83,1168,30446,15359,2119,2009
Val d'Aran,21857,35232,4517,895,51,0,738,2009
Vallès Occidental,23342,7555,561,3113,4000,595,19134,2009
Vallès Oriental,46388,7284,3430,3775,7061,2483,14749,2009
Alt Camp,14429,12211,0,1231,18518,4067,3315,2010
Alt Empordà,55096,25076,2492,4671,25230,15088,8050,2010
Alt Penedès,13726,13076,1804,2229,22302,286,5897,2010
Alt Urgell,91930,36977,5612,2449,3622,2202,1909,2010
Alta Ribagorça,16382,22850,1545,836,590,180,407,2010
Anoia,29504,14419,5325,2484,28935,446,5638,2010
Bages,65912,24940,4414,4761,21764,745,7424,2010
Baix Camp,19122,17274,5758,3568,6355,11208,6444,2010
Baix Ebre,16035,23045,6225,5297,27543,16682,5113,2010
Baix Empordà,29773,6493,2886,4086,12014,8870,6139,2010
Baix Llobregat,11490,10499,1909,4218,1828,1745,16891,2010
Baix Penedès,7175,8104,0,1580,7860,453,4409,2010
Barcelonès,1233,1144,217,142,13,48,11574,2010
Berguedà,63278,20629,20410,2364,9513,25,2291,2010
Cerdanya,24263,16878,7674,1015,2273,768,2136,2010
Conca de Barberà,20722,13510,471,2948,24797,383,2188,2010
Garraf,3855,6729,481,960,1604,173,4658,2010
Garrigues,13450,15542,2,1198,34974,12177,2448,2010
Garrotxa,56454,2384,4496,1266,5144,1304,2383,2010
Gironès,33430,2100,85,1827,10480,4369,5309,2010
Maresme,20466,2442,1654,2178,832,2765,9412,2010
Montsià,9282,13237,2549,5786,21605,18282,3049,2010
Noguera,59575,37193,345,5234,46035,26296,3662,2010
Osona,74766,11563,4967,4645,23931,523,5955,2010
Pallars Jussà,55478,50913,4297,3288,15664,2807,1963,2010
Pallars Sobirà,63031,62120,6440,1663,1049,187,1401,2010
Pla d'Urgell,33,216,761,1299,629,25741,1892,2010
Pla de l'Estany,13893,1272,692,836,7267,1039,1321,2010
Priorat,19918,15730,0,1124,9851,1989,1057,2010
Ribera d'Ebre,22293,23736,7411,8683,10953,7380,2144,2010
Ripollès,53534,4308,32736,2652,1141,6,1413,2010
Segarra,9469,13441,1771,853,44396,238,2103,2010
Segrià,9054,17072,489,7121,32626,66466,6892,2010
Selva,70039,6553,1726,3269,5060,4155,8840,2010
Solsonès,58327,18907,3587,1746,16523,29,1062,2010
Tarragonès,4061,4579,0,2507,8339,3705,8550,2010
Terra Alta,25874,17796,23,1001,27036,1083,1397,2010
Urgell,3571,5182,87,1260,30266,15352,2212,2010
Val d'Aran,21877,35232,4544,903,51,2,682,2010
Vallès Occidental,23337,7623,549,3080,3970,607,19134,2010
Vallès Oriental,46699,7325,3249,3750,6858,2533,14757,2010
Alt Camp,14393,12211,10,1283,18469,4089,3315,2011
Alt Empordà,55122,24919,2323,4685,25504,15095,8054,2011
Alt Penedès,13692,13089,1761,2264,22234,353,5926,2011
Alt Urgell,91940,36841,5767,2495,3504,2088,2065,2011
Alta Ribagorça,16331,22930,1519,830,590,180,410,2011
Anoia,29483,15271,4630,2387,28867,455,5658,2011
Bages,66044,24805,4504,4352,21859,760,7636,2011
Baix Camp,19105,17310,3911,3738,6926,11613,7128,2011
Baix Ebre,15166,24232,6048,4526,27447,16927,5595,2011
Baix Empordà,29732,6488,3132,2953,11986,8861,7108,2011
Baix Llobregat,11430,10484,1932,4288,1831,1714,16900,2011
Baix Penedès,7203,8104,3,1304,7643,453,4870,2011
Barcelonès,1232,1144,216,133,13,47,11584,2011
Berguedà,69679,18697,15953,2242,9524,28,2389,2011
Cerdanya,24411,16884,7601,1057,2182,759,2110,2011
Conca de Barberà,20797,13510,323,2898,24939,385,2167,2011
Garraf,3851,6729,415,956,1658,172,4678,2011
Garrigues,13487,15609,121,1376,34640,12035,2523,2011
Garrotxa,56670,2389,4348,1276,5022,1312,2413,2011
Gironès,33488,2094,103,1984,10221,4454,5256,2011
