year,subregion,fires,affected_wood_ha,affected_scrub_ha,affected_total_ha,affected_size
2005-01-01,Baix Llobregat,48.0,74.7,95.9,170.6,100 > 500 ha
2005-01-01,Baix Penedès,23.0,22.4,13.9,36.2,10 > 100 ha
2005-01-01,Barcelonès,18.0,0.6,14.8,15.4,10 > 100 ha
2005-01-01,Berguedà,28.0,390.3,81.9,472.2,100 > 500 ha
2005-01-01,Cerdanya,7.0,0.0,2.2,2.2,0 <10 ha
2005-01-01,Conca de Barberà,32.0,16.7,6.9,23.6,10 > 100 ha
2005-01-01,Garraf,7.0,0.7,0.1,0.8,0 <10 ha
2005-01-01,Garrigues,37.0,106.4,96.5,202.9,100 > 500 ha
2005-01-01,Garrotxa,5.0,0.4,3.3,3.7,0 <10 ha
2005-01-01,Gironès,24.0,5.2,1.3,6.4,0 <10 ha
2005-01-01,Maresme,23.0,7.6,2.4,9.9,0 <10 ha
2005-01-01,Montsià,2.0,0.0,12.4,12.4,10 > 100 ha
2005-01-01,Noguera,31.0,38.1,24.2,62.3,10 > 100 ha
2005-01-01,Osona,29.0,3.0,4.2,7.2,0 <10 ha
2005-01-01,Pallars Jussà,23.0,12.8,40.6,53.4,10 > 100 ha
2005-01-01,Pallars Sobirà,10.0,0.3,61.3,61.6,10 > 100 ha
2005-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2005-01-01,Pla de l'Estany,13.0,0.2,0.3,0.6,0 <10 ha
2005-01-01,Priorat,25.0,108.9,59.9,168.8,100 > 500 ha
2005-01-01,Ribera d'Ebre,27.0,385.2,354.5,739.8,500 > 1000 ha
2005-01-01,Ripollès,5.0,0.5,0.8,1.3,0 <10 ha
2005-01-01,Segarra,6.0,1.0,3.2,4.2,0 <10 ha
2005-01-01,Segrià,36.0,28.8,30.8,59.6,10 > 100 ha
2005-01-01,Selva,22.0,82.5,0.4,82.9,10 > 100 ha
2005-01-01,Solsonès,11.0,10.9,2.3,13.2,10 > 100 ha
2005-01-01,Tarragonès,7.0,0.4,1.2,1.5,0 <10 ha
2005-01-01,Terra Alta,25.0,61.5,67.8,129.3,100 > 500 ha
2005-01-01,Urgell,7.0,0.4,0.5,0.9,0 <10 ha
2005-01-01,Aran,4.0,0.0,26.2,26.2,10 > 100 ha
2005-01-01,Vallès Occidental,45.0,87.0,124.7,211.7,100 > 500 ha
2005-01-01,Vallès Oriental,35.0,33.0,2.1,35.1,10 > 100 ha
2006-01-01,Alt Camp,12.0,6.9,2.4,9.3,0 <10 ha
2006-01-01,Alt Empordà,58.0,672.7,278.6,951.3,500 > 1000 ha
2006-01-01,Alt Penedès,23.0,4.2,3.3,7.4,0 <10 ha
2006-01-01,Alt Urgell,10.0,95.2,0.0,95.3,10 > 100 ha
2006-01-01,Alta Ribagorça,3.0,0.0,1.5,1.5,0 <10 ha
2006-01-01,Anoia,17.0,19.6,4.2,23.8,10 > 100 ha
2006-01-01,Bages,44.0,34.1,3.0,37.1,10 > 100 ha
2006-01-01,Baix Camp,13.0,133.3,1100.3,1233.5,>1000 ha
2006-01-01,Baix Ebre,15.0,3.4,5.4,8.8,0 <10 ha
2006-01-01,Baix Empordà,28.0,579.3,8.9,588.2,500 > 1000 ha
2006-01-01,Baix Llobregat,32.0,3.4,5.1,8.4,0 <10 ha
2006-01-01,Baix Penedès,12.0,24.8,25.7,50.5,10 > 100 ha
2006-01-01,Barcelonès,22.0,0.9,30.3,31.2,10 > 100 ha
2006-01-01,Berguedà,12.0,0.7,0.6,1.3,0 <10 ha
2006-01-01,Cerdanya,4.0,0.1,0.4,0.5,0 <10 ha
2006-01-01,Conca de Barberà,9.0,117.1,10.2,127.3,100 > 500 ha
2006-01-01,Garraf,3.0,2.7,4.1,6.8,0 <10 ha
2006-01-01,Garrigues,15.0,5.6,14.1,19.6,10 > 100 ha
2006-01-01,Garrotxa,3.0,0.0,0.0,0.0,
2006-01-01,Gironès,37.0,5.7,6.0,11.8,10 > 100 ha
2006-01-01,Maresme,8.0,2.5,3.4,5.9,0 <10 ha
2006-01-01,Montsià,2.0,0.0,3.1,3.1,0 <10 ha
2006-01-01,Noguera,17.0,17.0,14.9,31.9,10 > 100 ha
2006-01-01,Osona,19.0,6.3,3.3,9.6,0 <10 ha
2006-01-01,Pallars Jussà,8.0,0.3,6.5,6.9,0 <10 ha
2006-01-01,Pallars Sobirà,11.0,0.8,0.6,1.4,0 <10 ha
2006-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,
2006-01-01,Pla de l'Estany,14.0,5.6,0.5,6.1,0 <10 ha
2006-01-01,Priorat,12.0,2.7,3.3,6.0,0 <10 ha
2006-01-01,Ribera d'Ebre,10.0,4.0,0.5,4.5,0 <10 ha
2006-01-01,Ripollès,6.0,0.1,0.0,0.1,0 <10 ha
2006-01-01,Segarra,4.0,0.6,0.4,1.0,0 <10 ha
2006-01-01,Segrià,31.0,9.0,13.1,22.1,10 > 100 ha
2006-01-01,Selva,19.0,1.2,0.6,1.8,0 <10 ha
2006-01-01,Solsonès,6.0,27.8,0.0,27.8,10 > 100 ha
2006-01-01,Tarragonès,8.0,0.3,30.9,31.2,10 > 100 ha
2006-01-01,Terra Alta,8.0,1.0,0.1,1.1,0 <10 ha
2006-01-01,Urgell,2.0,0.0,0.1,0.1,0 <10 ha
2006-01-01,Aran,3.0,2.1,6.0,8.1,0 <10 ha
2006-01-01,Vallès Occidental,47.0,5.5,2.0,7.5,0 <10 ha
2006-01-01,Vallès Oriental,22.0,14.2,1.1,15.3,10 > 100 ha
2007-01-01,Alt Camp,13.0,10.0,6.3,16.4,10 > 100 ha
2007-01-01,Alt Empordà,42.0,10.0,9.4,19.5,10 > 100 ha
2007-01-01,Alt Penedès,23.0,7.8,4.4,12.1,10 > 100 ha
2007-01-01,Alt Urgell,5.0,0.5,0.1,0.6,0 <10 ha
2007-01-01,Alta Ribagorça,1.0,0.1,0.0,0.1,0 <10 ha
2007-01-01,Anoia,16.0,1.3,2.9,4.3,0 <10 ha
2007-01-01,Bages,52.0,251.8,23.3,275.1,100 > 500 ha
2007-01-01,Baix Camp,23.0,39.5,331.9,371.4,100 > 500 ha
2007-01-01,Baix Ebre,14.0,7.5,15.5,22.9,10 > 100 ha
2007-01-01,Baix Empordà,33.0,6.7,1.6,8.2,0 <10 ha
