subregion,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,year
Cerdanya,21492,2204,25047.0,2147,1910,838.0,1347,2005-01-01
Conca de Barberà,11752,14633,4510.0,5030,27222,457.0,1416,2005-01-01
Garraf,3348,7118,364.0,734,1911,170.0,4815,2005-01-01
Garrigues,13222,12085,2877.0,2014,38056,10303.0,1233,2005-01-01
Garrotxa,40981,14156,5232.0,1024,8200,1575.0,2232,2005-01-01
Gironès,20941,13414,1488.0,2388,10133,4184.0,5052,2005-01-01
Maresme,20489,2994,879.0,1792,1314,3310.0,8972,2005-01-01
Montsià,9287,12690,1132.0,5387,23159,19037.0,3098,2005-01-01
Noguera,15342,60238,17186.0,6769,50075,24864.0,3866,2005-01-01
Osona,63214,12769,9613.0,4548,29941,614.0,5652,2005-01-01
Pallars Jussà,29091,35228,41552.0,7157,17517,3006.0,859,2005-01-01
Pallars Sobirà,61845,2935,55147.0,13192,2077,312.0,382,2005-01-01
Pla d'Urgell,26,0,499.0,1166,846,26149.0,1884,2005-01-01
Pla de l'Estany,10820,2945,898.0,988,8173,985.0,1511,2005-01-01
Priorat,8668,11490,5867.0,5459,13645,2519.0,2022,2005-01-01
Ribera d'Ebre,22920,15798,5568.0,10459,19507,7226.0,1122,2005-01-01
Ripollès,39566,3995,46006.0,4487,652,20.0,1064,2005-01-01
Segarra,3889,15086,2760.0,574,47278,176.0,2507,2005-01-01
Segrià,5710,9731,10183.0,1917,38921,66724.0,6534,2005-01-01
Selva,60384,13301,2918.0,2540,7020,4380.0,9109,2005-01-01
Solsonès,57433,5972,14532.0,2820,18249,70.0,1104,2005-01-01
Tarragonès,2902,3934,819.0,3129,8886,3858.0,8212,2005-01-01
Terra Alta,32390,8602,603.0,1284,29401,372.0,1558,2005-01-01
Urgell,2164,2781,2712.0,1222,31295,15629.0,2127,2005-01-01
Aran,10500,9597,41702.0,773,51,0.0,667,2005-01-01
Vallès Occidental,22855,8070,806.0,2537,4834,721.0,18295,2005-01-01
Vallès Oriental,45419,7284,2735.0,2902,8794,3104.0,14932,2005-01-01
Alt Camp,10148,8787,3472.0,4139,19744,3979.0,3501,2006-01-01
Alt Empordà,63226,7901,15478.0,6691,24445,12619.0,5343,2006-01-01
Alt Penedès,12536,15249,690.0,1978,22833,162.0,5872,2006-01-01
Alt Urgell,57549,34772,41572.0,3666,4034,2399.0,708,2006-01-01
Alta Ribagorça,6180,10156,24439.0,827,592,184.0,412,2006-01-01
Anoia,29601,13823,5889.0,1994,29610,372.0,5461,2006-01-01
Bages,66181,27241,3228.0,3769,21765,909.0,6744,2006-01-01
Baix Camp,14641,13132,4810.0,5891,12905,10050.0,8301,2006-01-01
Baix Ebre,16035,15689,9608.0,5194,32585,17431.0,3398,2006-01-01
Baix Empordà,19682,12318,4178.0,2777,13166,9132.0,9007,2006-01-01
Baix Llobregat,11678,10898,1502.0,2684,2962,2487.0,16369,2006-01-01
Baix Penedès,7244,7970,35.0,1354,7827,321.0,4829,2006-01-01
Barcelonès,1598,941,133.0,109,28,76.0,11485,2006-01-01
Berguedà,60112,15511,28174.0,2362,10083,69.0,2201,2006-01-01
Cerdanya,24426,13086,11311.0,1396,2145,923.0,1719,2006-01-01
Conca de Barberà,11752,14633,4510.0,5030,27245,434.0,1416,2006-01-01
Garraf,3544,6916,342.0,738,1891,170.0,4859,2006-01-01
Garrigues,13222,11917,3041.0,1063,36101,12108.0,2338,2006-01-01
Garrotxa,41011,14156,5231.0,1025,8208,1567.0,2232,2006-01-01
Gironès,21031,13409,1524.0,2462,9863,4229.0,5082,2006-01-01
Maresme,20489,2994,923.0,2058,833,2957.0,9496,2006-01-01
Montsià,9081,12818,947.0,5392,23501,18961.0,3090,2006-01-01
Noguera,15328,60238,19806.0,4899,49330,25442.0,3297,2006-01-01
Osona,66828,10189,9327.0,4758,28719,601.0,5929,2006-01-01
Pallars Jussà,29091,35228,44331.0,3262,17529,3014.0,1955,2006-01-01
Pallars Sobirà,61845,2935,65663.0,1660,2071,321.0,1395,2006-01-01
Pla d'Urgell,28,0,595.0,1147,726,26263.0,1811,2006-01-01
Pla de l'Estany,10820,2945,898.0,988,8158,984.0,1527,2006-01-01
Priorat,8668,11490,5867.0,5577,13645,2519.0,1904,2006-01-01
Ribera d'Ebre,22920,15798,5349.0,10429,18443,7722.0,1939,2006-01-01
Ripollès,39566,3995,45980.0,4487,678,20.0,1064,2006-01-01
Segarra,3889,14833,3465.0,764,47204,188.0,1927,2006-01-01
Segrià,5701,9414,7769.0,6431,37409,66815.0,6181,2006-01-01
Selva,60280,13414,3262.0,2540,6752,4285.0,9109,2006-01-01
Solsonès,73742,1315,3034.0,1418,19135,51.0,1485,2006-01-01
Tarragonès,2099,6276,476.0,1753,9187,3919.0,8640,2006-01-01
Terra Alta,32408,8598,591.0,1284,29403,368.0,1558,2006-01-01
Urgell,2324,2610,2780.0,1172,31074,15929.0,2041,2006-01-01
Aran,27037,8717,25914.0,883,51,0.0,688,2006-01-01
Vallès Occidental,23036,8065,1170.0,2494,4173,601.0,18761,2006-01-01
Vallès Oriental,46408,7255,2655.0,2951,8398,2560.0,14943,2006-01-01
Alt Camp,14389,12211,0.0,1107,18849,4123.0,3091,2007-01-01
Alt Empordà,55096,25211,12507.0,4471,18625,12017.0,7776,2007-01-01
Alt Penedès,13642,13081,1819.0,2158,22596,155.0,5869,2007-01-01
Alt Urgell,91678,37041,5351.0,2344,3950,2332.0,2004,2007-01-01
Alta Ribagorça,16331,22902,1542.0,826,591,185.0,413,2007-01-01
Anoia,29881,14081,5375.0,2514,29030,368.0,5501,2007-01-01
Bages,66645,23948,4425.0,5048,21937,827.0,7130,2007-01-01
Baix Camp,19151,17272,874.0,8468,5519,11575.0,6871,2007-01-01
Baix Ebre,14096,24441,2296.0,4826,31702,17719.0,4856,2007-01-01
Baix Empordà,29770,6459,1842.0,3562,12067,9140.0,7420,2007-01-01
Baix Llobregat,11752,10222,1265.0,3414,2462,2425.0,17040,2007-01-01
Baix Penedès,7183,7996,0.0,1463,8358,287.0,4293,2007-01-01
Barcelonès,1597,941,133.0,117,24,65.0,11493,2007-01-01
Berguedà,59703,19354,24768.0,2504,9834,86.0,2263,2007-01-01
Cerdanya,24540,16575,7954.0,999,2116,790.0,2032,2007-01-01
Conca de Barberà,20690,13511,544.0,3062,24795,336.0,2082,2007-01-01
Garraf,3541,6772,460.0,947,1735,123.0,4882,2007-01-01
Garrigues,13441,15604,121.0,1033,35584,11674.0,2333,2007-01-01
Garrotxa,56601,2372,5252.0,1083,4689,1296.0,2137,2007-01-01
Gironès,33645,2100,215.0,2046,10076,4271.0,5247,2007-01-01
Maresme,20557,2224,2015.0,2176,744,2875.0,9159,2007-01-01
Montsià,9248,13232,1004.0,5500,22776,18959.0,3071,2007-01-01
Noguera,59370,36827,323.0,4875,46935,26715.0,3295,2007-01-01
Osona,73177,11580,3227.0,4422,27790,601.0,5554,2007-01-01
Pallars Jussà,55484,50915,3490.0,3245,16392,2939.0,1945,2007-01-01
Pallars Sobirà,62869,61719,6322.0,1642,1657,291.0,1390,2007-01-01
Pla d'Urgell,25,509,86.0,1008,505,26636.0,1801,2007-01-01
Pla de l'Estany,13926,1156,439.0,830,7319,1125.0,1525,2007-01-01
Priorat,19952,15730,0.0,1064,9938,2048.0,938,2007-01-01
Ribera d'Ebre,19461,25866,7447.0,7382,14083,6376.0,1985,2007-01-01
Ripollès,41810,4279,43432.0,4071,699,6.0,1496,2007-01-01
Segarra,9429,13520,1900.0,742,44573,201.0,1905,2007-01-01
Segrià,9134,17406,489.0,6366,34532,65607.0,6186,2007-01-01
Selva,69998,6963,1755.0,2995,5094,4084.0,8729,2007-01-01
Solsonès,58569,18997,820.0,1599,18839,51.0,1305,2007-01-01
Tarragonès,4082,4579,0.0,1889,8905,3941.0,8344,2007-01-01
Terra Alta,25535,16926,0.0,937,29216,332.0,1295,2007-01-01
Urgell,3540,4485,239.0,1163,30840,15556.0,2107,2007-01-01
Aran,21823,35232,4606.0,883,58,0.0,688,2007-01-01
Vallès Occidental,23187,7208,1176.0,3020,4089,572.0,19048,2007-01-01
Vallès Oriental,46458,6697,3374.0,3792,8014,2498.0,14337,2007-01-01
Alt Camp,14385,12211,0.0,1121,18785,4165.0,3103,2008-01-01
Alt Empordà,55210,25183,4602.0,4382,24605,13919.0,7802,2008-01-01
Alt Penedès,13645,13081,1836.0,2166,22423,300.0,5869,2008-01-01
Alt Urgell,91672,36999,5641.0,2378,3802,2262.0,1946,2008-01-01
Alta Ribagorça,16332,22905,1541.0,829,590,180.0,413,2008-01-01
Anoia,29627,14136,5499.0,2520,28971,438.0,5559,2008-01-01
Bages,66164,24310,4522.0,4900,21948,821.0,7295,2008-01-01
Baix Camp,19137,17272,5552.0,3120,6472,11890.0,6287,2008-01-01
Baix Ebre,14537,24349,2586.0,4691,31024,17846.0,4907,2008-01-01
Baix Empordà,29873,6459,2711.0,4074,12153,8906.0,6084,2008-01-01
Baix Llobregat,11666,10255,1957.0,3512,2084,2102.0,17004,2008-01-01
Baix Penedès,7214,8051,0.0,1475,8167,371.0,4302,2008-01-01
Barcelonès,1416,1043,125.0,156,25,56.0,11549,2008-01-01
Berguedà,63420,19694,20960.0,2325,9916,87.0,2110,2008-01-01
Cerdanya,24549,16888,7368.0,1081,2286,822.0,2012,2008-01-01
Conca de Barberà,20715,13504,460.0,3028,24872,341.0,2100,2008-01-01
Garraf,3848,6711,469.0,938,1647,134.0,4713,2008-01-01
Garrigues,13464,15604,34.0,1062,35885,11404.0,2337,2008-01-01
Garrotxa,56658,2381,4108.0,1122,5760,1294.0,2107,2008-01-01
Gironès,33570,2100,220.0,1924,10425,4237.0,5124,2008-01-01
Maresme,20582,2224,1875.0,2180,726,2909.0,9254,2008-01-01
Montsià,9293,13232,2726.0,5633,21511,18324.0,3071,2008-01-01
Noguera,59700,36827,584.0,4950,46189,26676.0,3414,2008-01-01
Osona,74231,11606,4088.0,4517,25507,721.0,5681,2008-01-01
Pallars Jussà,55483,50915,4497.0,3225,15714,2807.0,1769,2008-01-01
Pallars Sobirà,62943,61718,6274.0,1664,1634,263.0,1394,2008-01-01
Pla d'Urgell,33,509,10.0,1147,592,26408.0,1871,2008-01-01
Pla de l'Estany,13924,1272,523.0,822,7263,1149.0,1367,2008-01-01
Priorat,19971,15730,0.0,1091,9890,2039.0,949,2008-01-01
Ribera d'Ebre,19593,25876,7424.0,8357,12480,6796.0,2074,2008-01-01
Ripollès,51918,4318,34338.0,2670,1117,9.0,1420,2008-01-01
Segarra,9437,13520,1899.0,772,44452,229.0,1961,2008-01-01
Segrià,9116,17268,489.0,6850,34297,65238.0,6462,2008-01-01
Selva,69897,6743,2067.0,3020,5014,4116.0,8785,2008-01-01
Solsonès,58561,18913,909.0,1641,18818,24.0,1314,2008-01-01
Tarragonès,4080,4579,0.0,2349,8561,3630.0,8541,2008-01-01
Terra Alta,25824,17164,0.0,933,28062,923.0,1304,2008-01-01
Urgell,3580,5180,92.0,1170,30435,15354.0,2119,2008-01-01
Aran,21856,35232,4566.0,862,51,0.0,723,2008-01-01
