year,subregion,fires,affected_wood_ha,affected_scrub_ha,affected_total_ha,affected_size,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,annual_avg_temp,average_maximums,average_minimums,outright_maximum,outright_minimum,annual_rainfall_mm,relative_humidity_%,wind_avg_speed_ms,wind_dominant_direction,risk_forest_fire
2006-01-01,Baix Camp,13.0,133.3,1100.3,1233.5,>1000 ha,14641.0,13132.0,4810.0,5891.0,12905.0,10050.0,8301.0,16.0,20.9,10.9,35.8,-1.0,428.0,75.0,3.0,S,Very high
2006-01-01,Baix Ebre,15.0,3.4,5.4,8.8,0 <10 ha,16035.0,15689.0,9608.0,5194.0,32585.0,17431.0,3398.0,17.0,22.1,13.1,37.5,-2.0,447.0,70.0,4.0,NW,Low
2006-01-01,Baix Empordà,28.0,579.3,8.9,588.2,500 > 1000 ha,19682.0,12318.0,4178.0,2777.0,13166.0,9132.0,9007.0,16.0,23.0,9.8,38.2,-3.0,635.0,75.0,2.0,S,High
2006-01-01,Baix Llobregat,32.0,3.4,5.1,8.4,0 <10 ha,11678.0,10898.0,1502.0,2684.0,2962.0,2487.0,16369.0,17.0,22.8,12.1,39.7,-1.0,498.0,67.0,2.0,W,Very high
2006-01-01,Baix Penedès,12.0,24.8,25.7,50.5,10 > 100 ha,7244.0,7970.0,35.0,1354.0,7827.0,321.0,4829.0,17.0,22.3,12.2,36.5,0.0,427.0,71.0,3.0,N,Low
2006-01-01,Barcelonès,22.0,0.9,30.3,31.2,10 > 100 ha,1598.0,941.0,133.0,109.0,28.0,76.0,11485.0,16.0,20.6,12.6,38.2,0.0,470.0,72.0,4.0,SW,Low
2006-01-01,Berguedà,12.0,0.7,0.6,1.3,0 <10 ha,60112.0,15511.0,28174.0,2362.0,10083.0,69.0,2201.0,13.0,19.2,7.5,35.8,-4.0,525.0,72.0,2.0,SW,Moderate
2006-01-01,Cerdanya,4.0,0.1,0.4,0.5,0 <10 ha,24426.0,13086.0,11311.0,1396.0,2145.0,923.0,1719.0,10.0,19.4,2.4,34.9,-13.0,385.0,68.0,3.0,E,Low
2006-01-01,Conca de Barberà,9.0,117.1,10.2,127.3,100 > 500 ha,11752.0,14633.0,4510.0,5030.0,27245.0,434.0,1416.0,14.0,20.4,9.3,37.2,-4.0,406.0,72.0,3.0,W,High
2006-01-01,Garraf,3.0,2.7,4.1,6.8,0 <10 ha,3544.0,6916.0,342.0,738.0,1891.0,170.0,4859.0,17.0,22.4,12.1,36.2,0.0,402.0,78.0,1.0,NE,Very high
2006-01-01,Garrigues,15.0,5.6,14.1,19.6,10 > 100 ha,13222.0,11917.0,3041.0,1063.0,36101.0,12108.0,2338.0,14.0,19.4,9.4,36.0,-6.0,211.0,66.0,2.0,S,Moderate
2006-01-01,Garrotxa,3.0,0.0,0.0,0.0,,41011.0,14156.0,5231.0,1025.0,8208.0,1567.0,2232.0,14.0,21.1,8.2,37.9,-6.0,630.0,74.0,2.0,SW,Moderate
2006-01-01,Gironès,37.0,5.7,6.0,11.8,10 > 100 ha,21031.0,13409.0,1524.0,2462.0,9863.0,4229.0,5082.0,17.0,23.5,11.5,39.6,-3.0,663.0,71.0,2.0,S,Very high
2006-01-01,Maresme,8.0,2.5,3.4,5.9,0 <10 ha,20489.0,2994.0,923.0,2058.0,833.0,2957.0,9496.0,18.0,21.7,14.2,33.6,2.0,384.0,71.0,3.0,W,High
2006-01-01,Montsià,2.0,0.0,3.1,3.1,0 <10 ha,9081.0,12818.0,947.0,5392.0,23501.0,18961.0,3090.0,17.0,20.8,13.6,33.0,0.0,431.0,72.0,2.0,NW,High
2006-01-01,Noguera,17.0,17.0,14.9,31.9,10 > 100 ha,15328.0,60238.0,19806.0,4899.0,49330.0,25442.0,3297.0,15.0,21.2,9.1,38.9,-5.0,240.0,69.0,1.0,N,High
2006-01-01,Osona,19.0,6.3,3.3,9.6,0 <10 ha,66828.0,10189.0,9327.0,4758.0,28719.0,601.0,5929.0,13.0,20.1,7.5,37.4,-6.0,564.0,73.0,1.0,SW,High
2006-01-01,Pallars Jussà,8.0,0.3,6.5,6.9,0 <10 ha,29091.0,35228.0,44331.0,3262.0,17529.0,3014.0,1955.0,14.0,21.3,7.6,39.3,-7.0,377.0,64.0,1.0,N,Moderate
2006-01-01,Pallars Sobirà,11.0,0.8,0.6,1.4,0 <10 ha,61845.0,2935.0,65663.0,1660.0,2071.0,321.0,1395.0,11.462499999999999,19.724999999999998,5.768750000000001,34.262499999999996,-7.39375,754.625,66.61875,1.475,..,Low
2006-01-01,Pla d'Urgell,0.0,0.0,0.0,0.0,,28.0,0.0,595.0,1147.0,726.0,26263.0,1811.0,16.0,21.1,8.2,38.5,-2.0,221.0,70.0,2.0,E,Moderate
2006-01-01,Pla de l'Estany,14.0,5.6,0.5,6.1,0 <10 ha,10820.0,2945.0,898.0,988.0,8158.0,984.0,1527.0,15.0,21.8,10.9,38.5,-7.0,505.0,72.0,3.0,S,High
2006-01-01,Priorat,12.0,2.7,3.3,6.0,0 <10 ha,8668.0,11490.0,5867.0,5577.0,13645.0,2519.0,1904.0,14.0,21.0,8.0,39.0,-9.0,271.0,67.0,2.0,W,Very high
2006-01-01,Ribera d'Ebre,10.0,4.0,0.5,4.5,0 <10 ha,22920.0,15798.0,5349.0,10429.0,18443.0,7722.0,1939.0,18.0,23.8,11.5,41.8,-5.0,248.0,64.0,3.0,SE,Very high
2006-01-01,Ripollès,6.0,0.1,0.0,0.1,0 <10 ha,39566.0,3995.0,45980.0,4487.0,678.0,20.0,1064.0,11.0,18.6,4.5,35.4,-10.0,815.0,79.0,2.0,SW,Low
2006-01-01,Segarra,4.0,0.6,0.4,1.0,0 <10 ha,3889.0,14833.0,3465.0,764.0,47204.0,188.0,1927.0,14.0,19.2,9.3,38.0,-4.0,228.0,67.0,3.0,W,Moderate
2006-01-01,Segrià,31.0,9.0,13.1,22.1,10 > 100 ha,5701.0,9414.0,7769.0,6431.0,37409.0,66815.0,6181.0,15.0,20.8,9.0,37.9,-6.0,208.0,69.0,3.0,E,Moderate
2006-01-01,Selva,19.0,1.2,0.6,1.8,0 <10 ha,60280.0,13414.0,3262.0,2540.0,6752.0,4285.0,9109.0,16.0,22.6,9.3,40.1,-4.0,526.0,74.0,1.0,SE,Very high
2006-01-01,Solsonès,6.0,27.8,0.0,27.8,10 > 100 ha,73742.0,1315.0,3034.0,1418.0,19135.0,51.0,1485.0,14.0,20.6,8.5,36.9,-4.0,402.0,67.0,2.0,SW,Very high
2006-01-01,Tarragonès,8.0,0.3,30.9,31.2,10 > 100 ha,2099.0,6276.0,476.0,1753.0,9187.0,3919.0,8640.0,16.0,21.3,11.6,35.0,-2.0,554.0,78.0,1.0,N,High
2006-01-01,Terra Alta,8.0,1.0,0.1,1.1,0 <10 ha,32408.0,8598.0,591.0,1284.0,29403.0,368.0,1558.0,15.0,21.2,10.2,38.5,-4.0,409.0,67.0,3.0,W,Very high
2006-01-01,Urgell,2.0,0.0,0.1,0.1,0 <10 ha,2324.0,2610.0,2780.0,1172.0,31074.0,15929.0,2041.0,15.0,20.3,10.2,38.8,-6.0,213.0,63.0,4.0,SW,Moderate
2006-01-01,Aran,3.0,2.1,6.0,8.1,0 <10 ha,27037.0,8717.0,25914.0,883.0,51.0,0.0,688.0,10.0,17.5,5.5,33.6,-8.0,800.0,71.0,2.0,S,Low
2006-01-01,Vallès Occidental,47.0,5.5,2.0,7.5,0 <10 ha,23036.0,8065.0,1170.0,2494.0,4173.0,601.0,18761.0,14.0,21.3,8.0,37.3,-6.0,444.0,74.0,1.0,NW,Moderate
2006-01-01,Vallès Oriental,22.0,14.2,1.1,15.3,10 > 100 ha,46408.0,7255.0,2655.0,2951.0,8398.0,2560.0,14943.0,16.0,22.4,9.4,37.0,-4.0,501.0,75.0,1.0,E,Moderate
2007-01-01,Alt Camp,13.0,10.0,6.3,16.4,10 > 100 ha,14389.0,12211.0,0.0,1107.0,18849.0,4123.0,3091.0,15.428571428571429,21.3,10.9,36.3,-1.5,231.0,60.0,3.2,NNW,Moderate
2007-01-01,Alt Empordà,42.0,10.0,9.4,19.5,10 > 100 ha,55096.0,25211.0,12507.0,4471.0,18625.0,12017.0,7776.0,16.0,21.6,11.1,33.4,-4.1,336.0,65.0,3.3,NNE,Very high
2007-01-01,Alt Penedès,23.0,7.8,4.4,12.1,10 > 100 ha,13642.0,13081.0,1819.0,2158.0,22596.0,155.0,5869.0,15.0,21.1,9.9,35.4,-3.1,388.0,68.0,1.9,NW,High
2007-01-01,Alt Urgell,5.0,0.5,0.1,0.6,0 <10 ha,91678.0,37041.0,5351.0,2344.0,3950.0,2332.0,2004.0,12.0,19.6,5.2,35.9,-8.3,423.0,63.0,1.6,SW,Low
2007-01-01,Alta Ribagorça,1.0,0.1,0.0,0.1,0 <10 ha,16331.0,22902.0,1542.0,826.0,591.0,185.0,413.0,10.0,19.3,2.5,34.9,-12.5,576.0,70.0,1.1,SSE,Low
2007-01-01,Anoia,16.0,1.3,2.9,4.3,0 <10 ha,29881.0,14081.0,5375.0,2514.0,29030.0,368.0,5501.0,15.0,21.7,10.2,36.5,-3.0,574.0,64.0,2.3,NW,Very high
2007-01-01,Bages,52.0,251.8,23.3,275.1,100 > 500 ha,66645.0,23948.0,4425.0,5048.0,21937.0,827.0,7130.0,13.0,21.4,7.0,37.0,-8.3,444.0,71.0,1.1,S,Very high
2007-01-01,Baix Camp,23.0,39.5,331.9,371.4,100 > 500 ha,19151.0,17272.0,874.0,8468.0,5519.0,11575.0,6871.0,16.0,21.1,11.6,32.2,-2.8,333.0,65.0,1.3,WNW,Very high
2007-01-01,Baix Ebre,14.0,7.5,15.5,22.9,10 > 100 ha,14096.0,24441.0,2296.0,4826.0,31702.0,17719.0,4856.0,15.638095238095238,20.1,12.1,34.1,-1.1,608.0,65.0,4.7,NNW,Low
2007-01-01,Baix Empordà,33.0,6.7,1.6,8.2,0 <10 ha,29770.0,6459.0,1842.0,3562.0,12067.0,9140.0,7420.0,15.0,22.0,8.7,36.5,-6.3,474.0,75.0,1.8,S,High
2007-01-01,Baix Llobregat,20.0,0.6,9.8,10.4,10 > 100 ha,11752.0,10222.0,1265.0,3414.0,2462.0,2425.0,17040.0,16.0,22.8,11.3,38.9,-1.1,402.0,63.0,1.7,W,Very high
2007-01-01,Baix Penedès,5.0,4.3,2.7,7.0,0 <10 ha,7183.0,7996.0,0.0,1463.0,8358.0,287.0,4293.0,16.347619047619048,22.2,10.8,32.7,-2.3,438.0,66.0,2.6,NE,Low
2007-01-01,Barcelonès,14.0,0.6,11.3,11.9,10 > 100 ha,1597.0,941.0,133.0,117.0,24.0,65.0,11493.0,15.0,20.5,11.7,34.5,-1.3,538.0,67.0,4.2,NNW,Low
2007-01-01,Berguedà,13.0,1.1,23.7,24.8,10 > 100 ha,59703.0,19354.0,24768.0,2504.0,9834.0,86.0,2263.0,12.0,19.1,6.4,35.3,-7.7,441.0,70.0,1.6,SW,Moderate
2007-01-01,Cerdanya,3.0,1.2,0.6,1.8,0 <10 ha,24540.0,16575.0,7954.0,999.0,2116.0,790.0,2032.0,9.176190476190477,18.7,0.9,35.4,-15.6,396.0,67.0,2.6,E,Low
2007-01-01,Conca de Barberà,11.0,2.9,1.2,4.1,0 <10 ha,20690.0,13511.0,544.0,3062.0,24795.0,336.0,2082.0,14.0,20.2,8.7,39.1,-4.9,405.0,70.0,3.0,W,High
2007-01-01,Garraf,2.0,0.0,0.2,0.2,0 <10 ha,3541.0,6772.0,460.0,947.0,1735.0,123.0,4882.0,16.0,22.2,11.6,35.2,-1.6,468.0,67.0,0.5,SW,Very high
2007-01-01,Garrigues,16.0,2.9,2.5,5.4,0 <10 ha,13441.0,15604.0,121.0,1033.0,35584.0,11674.0,2333.0,14.0,19.3,8.3,37.3,-7.3,301.0,65.0,2.0,S,Moderate
2007-01-01,Garrotxa,14.0,0.1,1.5,1.5,0 <10 ha,56601.0,2372.0,5252.0,1083.0,4689.0,1296.0,2137.0,13.0,21.3,7.0,38.6,-7.6,670.0,71.0,1.3,SW,Moderate
