subregion,annual_avg_temp,average_maximums,average_minimums,outright_maximum,outright_minimum,year
Priorat,14.0,20.2,9.9,35.8,-3.6,2008-01-01
Ribera d'Ebre,16.0,22.7,10.1,38.3,-4.0,2008-01-01
Ripollès,10.0,16.9,3.9,32.5,-8.9,2008-01-01
Segarra,13.0,18.4,8.2,36.2,-6.5,2008-01-01
Segrià,14.0,20.1,8.1,36.8,-6.6,2008-01-01
Selva,14.0,21.1,7.6,38.2,-5.8,2008-01-01
Solsonès,12.0,18.2,7.2,35.1,-4.6,2008-01-01
Tarragonès,16.0,21.1,10.4,33.8,-2.3,2008-01-01
Terra Alta,14.0,19.2,9.0,35.7,-6.2,2008-01-01
Urgell,14.0,19.3,9.1,37.0,-6.4,2008-01-01
Aran,9.0,15.9,4.3,33.8,-9.2,2008-01-01
Vallès Occidental,13.0,20.2,7.5,35.7,-8.0,2008-01-01
Vallès Oriental,14.0,20.9,8.4,36.4,-4.8,2008-01-01
Alt Camp,16.0,21.2,10.9,35.9,-2.9,2009-01-01
Alt Empordà,17.0,21.5,11.7,36.4,-4.7,2009-01-01
Alt Penedès,15.0,21.3,10.3,36.5,-2.9,2009-01-01
Alt Urgell,12.0,18.8,5.8,33.6,-9.1,2009-01-01
Alta Ribagorça,10.0,19.5,3.3,34.6,-11.8,2009-01-01
Anoia,15.0,20.9,10.7,36.4,-4.4,2009-01-01
Bages,13.0,21.1,6.8,37.4,-9.9,2009-01-01
Baix Camp,16.0,21.1,11.9,35.7,-1.4,2009-01-01
Baix Ebre,16.0,21.3,12.3,36.7,-1.3,2009-01-01
Baix Empordà,16.0,22.5,9.2,40.1,-7.9,2009-01-01
Baix Llobregat,16.0,21.8,11.9,38.5,-2.9,2009-01-01
Baix Penedès,16.0,22.2,11.3,36.5,-3.2,2009-01-01
Barcelonès,15.0,20.2,12.0,37.8,-2.2,2009-01-01
Berguedà,12.0,18.3,7.0,34.9,-10.4,2009-01-01
Cerdanya,9.0,17.6,1.4,32.6,-16.0,2009-01-01
Conca de Barberà,14.0,20.4,9.1,36.3,-6.4,2009-01-01
Garraf,16.0,22.1,11.9,37.4,-2.8,2009-01-01
Garrigues,14.0,19.8,8.9,35.7,-6.7,2009-01-01
Garrotxa,14.0,21.8,7.6,38.0,-9.5,2009-01-01
Gironès,16.0,22.6,9.9,39.3,-7.3,2009-01-01
Maresme,17.0,20.9,13.1,38.2,0.5,2009-01-01
Montsià,17.0,21.7,13.1,34.1,-0.8,2009-01-01
Noguera,15.0,21.8,8.8,38.1,-9.4,2009-01-01
Osona,13.0,20.6,6.7,36.1,-9.9,2009-01-01
Pallars Jussà,13.0,20.8,6.9,37.4,-9.9,2009-01-01
